equipment_code,logged_at,delay_hours,production_loss_tonnes,reason,severity
RM-MOTOR-03,2025-05-28T06:00:00,6.5,180,Bearing vibration exceedance — hot rolling line speed reduced 20%,high
RM-MOTOR-03,2025-06-02T14:30:00,4.0,95,Unplanned motor inspection during elevated vibration shift,medium
BF-BLOWER-01,2025-05-15T09:00:00,3.2,420,Blast furnace blower surge — temporary output cutback,high
BF-BLOWER-01,2025-06-01T11:00:00,1.5,110,Scheduled impeller balance check extended,low
CV-SYSTEM-12,2025-05-20T16:00:00,8.0,0,Conveyor belt misalignment — raw material feed stopped,medium
CV-SYSTEM-12,2025-06-05T07:30:00,2.5,0,Drive motor thermal trip — cleared after cooling,medium
OH-CRANE-02,2025-04-30T10:00:00,12.0,65,Crane hook brake fault — melting shop logistics delayed,critical
OH-CRANE-02,2025-06-08T08:00:00,1.0,8,Hoist encoder fault message — slow mode enforced,low
BF-PUMP-05,2025-05-25T22:00:00,5.5,0,Cooling water pump seal leak — utilities pressure low,high
BF-PUMP-05,2025-06-09T03:00:00,0.75,0,Flow rate below SOP minimum — auto-compensated,low
